Complited in 0.000702
a[6][91] = 1.08163, 
a[6][92] = 1.07071, 
a[6][93] = 1.06, 
a[6][94] = 1.0495, 
a[6][95] = 1.03922, 
a[6][96] = 1.02913, 
a[6][97] = 1.01923, 
a[6][98] = 1.00952, 
a[6][99] = 8.15385, 

a[8][0] = 0.111111, 
a[8][1] = 0.0538721, 
a[8][2] = 0.024668, 
a[8][3] = 0.00861323, 
a[8][4] = 0.0027172, 
a[8][5] = 0.000736619, 
a[8][6] = 0.000106281, 
a[8][7] = -4.97334e-06, 
a[8][8] = 0.00943396, 
a[8][9] = 5.88889, 
a[8][10] = 5.57895, 
a[8][11] = 5.3, 
a[8][12] = 5.04762, 
a[8][13] = 4.81818, 
a[8][14] = 4.6087, 
a[8][15] = 4.41667, 
a[8][16] = 4.24, 
a[8][17] = 4.07692, 
a[8][18] = 3.92593, 
a[8][19] = 3.78571, 
a[8][20] = 3.65517, 
a[8][21] = 3.53333, 
a[8][22] = 3.41935, 
a[8][23] = 3.3125, 
a[8][24] = 3.21212, 
a[8][25] = 3.11765, 
a[8][26] = 3.02857, 
a[8][27] = 2.94444, 
a[8][28] = 2.86486, 
a[8][29] = 2.78947, 
a[8][30] = 2.71795, 
a[8][31] = 2.65, 
a[8][32] = 2.58537, 
a[8][33] = 2.52381, 
a[8][34] = 2.46512, 
a[8][35] = 2.40909, 
a[8][36] = 2.35556, 
a[8][37] = 2.30435, 
a[8][38] = 2.25532, 
a[8][39] = 2.20833, 
a[8][40] = 2.16327, 
a[8][41] = 2.12, 
a[8][42] = 2.07843, 
a[8][43] = 2.03846, 
a[8][44] = 2, 
a[8][45] = 1.96296, 
a[8][46] = 1.92727, 
a[8][47] = 1.89286, 
a[8][48] = 1.85965, 
a[8][49] = 1.82759, 
a[8][50] = 1.79661, 
a[8][51] = 1.76667, 
a[8][52] = 1.7377, 
a[8][53] = 1.70968, 
a[8][54] = 1.68254, 
a[8][55] = 1.65625, 
a[8][56] = 1.63077, 
a[8][57] = 1.60606, 
a[8][58] = 1.58209, 
a[8][59] = 1.55882, 
a[8][60] = 1.53623, 
a[8][61] = 1.51429, 
a[8][62] = 1.49296, 
a[8][63] = 1.47222, 
a[8][64] = 1.45205, 
a[8][65] = 1.43243, 
a[8][66] = 1.41333, 
a[8][67] = 1.39474, 
a[8][68] = 1.37662, 
a[8][69] = 1.35897, 
a[8][70] = 1.34177, 
a[8][71] = 1.325, 
a[8][72] = 1.30864, 
a[8][73] = 1.29268, 
a[8][74] = 1.27711, 
a[8][75] = 1.2619, 
a[8][76] = 1.24706, 
a[8][77] = 1.23256, 
a[8][78] = 1.21839, 
a[8][79] = 1.20455, 
a[8][80] = 1.19101, 
a[8][81] = 1.17778, 
a[8][82] = 1.16484, 
a[8][83] = 1.15217, 
a[8][84] = 1.13978, 
a[8][85] = 1.12766, 
a[8][86] = 1.11579, 
a[8][87] = 1.10417, 
a[8][88] = 1.09278, 
a[8][89] = 1.08163, 
a[8][90] = 1.07071, 
a[8][91] = 1.06, 
a[8][92] = 1.0495, 
a[8][93] = 1.03922, 
a[8][94] = 1.02913, 
a[8][95] = 1.01923, 
a[8][96] = 1.00952, 
a[8][97] = 6.23529, 
a[8][98] = 0.990654, 
a[8][99] = 0.981481, 

a[10][0] = 0.0909091, 
a[10][1] = 0.04662, 
a[10][2] = 0.0234719, 
a[10][3] = 0.00911308, 
a[10][4] = 0.00313376, 
a[10][5] = 0.000901547, 
a[10][6] = 0.00013362, 
a[10][7] = -6.27761e-06, 
a[10][8] = -6.46071e-06, 
a[10][9] = -6.6516e-06, 
a[10][10] = 0.00943396, 
a[10][11] = 4.81818, 
a[10][12] = 4.6087, 
a[10][13] = 4.41667, 
a[10][14] = 4.24, 
a[10][15] = 4.07692, 
a[10][16] = 3.92593, 
a[10][17] = 3.78571, 
a[10][18] = 3.65517, 
a[10][19] = 3.53333, 
a[10][20] = 3.41935, 
a[10][21] = 3.3125, 
a[10][22] = 3.21212, 
a[10][23] = 3.11765, 
a[10][24] = 3.02857, 
a[10][25] = 2.94444, 
a[10][26] = 2.86486, 
a[10][27] = 2.78947, 
a[10][28] = 2.71795, 
a[10][29] = 2.65, 
a[10][30] = 2.58537, 
a[10][31] = 2.52381, 
a[10][32] = 2.46512, 
a[10][33] = 2.40909, 
a[10][34] = 2.35556, 
a[10][35] = 2.30435, 
a[10][36] = 2.25532, 
a[10][37] = 2.20833, 
a[10][38] = 2.16327, 
a[10][39] = 2.12, 
a[10][40] = 2.07843, 
a[10][41] = 2.03846, 
a[10][42] = 2, 
a[10][43] = 1.96296, 
a[10][44] = 1.92727, 
a[10][45] = 1.89286, 
a[10][46] = 1.85965, 
a[10][47] = 1.82759, 
a[10][48] = 1.79661, 
a[10][49] = 1.76667, 
a[10][50] = 1.7377, 
a[10][51] = 1.70968, 
a[10][52] = 1.68254, 
a[10][53] = 1.65625, 
a[10][54] = 1.63077, 
a[10][55] = 1.60606, 
a[10][56] = 1.58209, 
a[10][57] = 1.55882, 
a[10][58] = 1.53623, 
a[10][59] = 1.51429, 
a[10][60] = 1.49296, 
a[10][61] = 1.47222, 
a[10][62] = 1.45205, 
a[10][63] = 1.43243, 
a[10][64] = 1.41333, 
a[10][65] = 1.39474, 
a[10][66] = 1.37662, 
a[10][67] = 1.35897, 
a[10][68] = 1.34177, 
a[10][69] = 1.325, 
a[10][70] = 1.30864, 
a[10][71] = 1.29268, 
a[10][72] = 1.27711, 
a[10][73] = 1.2619, 
a[10][74] = 1.24706, 
a[10][75] = 1.23256, 
a[10][76] = 1.21839, 
a[10][77] = 1.20455, 
a[10][78] = 1.19101, 
a[10][79] = 1.17778, 
a[10][80] = 1.16484, 
a[10][81] = 1.15217, 
a[10][82] = 1.13978, 
a[10][83] = 1.12766, 
a[10][84] = 1.11579, 
a[10][85] = 1.10417, 
a[10][86] = 1.09278, 
a[10][87] = 1.08163, 
a[10][88] = 1.07071, 
a[10][89] = 1.06, 
a[10][90] = 1.0495, 
a[10][91] = 1.03922, 
a[10][92] = 1.02913, 
a[10][93] = 1.01923, 
a[10][94] = 1.00952, 
a[10][95] = 5.04762, 
a[10][96] = 0.990654, 
a[10][97] = 0.981481, 
a[10][98] = 0.972477, 
a[10][99] = 0.963636, 

a[12][0] = 0.0769231, 
a[12][1] = 0.0410256, 
a[12][2] = 0.022151, 
a[12][3] = 0.00934735, 
a[12][4] = 0.00345653, 
a[12][5] = 0.00104844, 
a[12][6] = 0.000159278, 
a[12][7] = -7.51092e-06, 
a[12][8] = -7.72713e-06, 
a[12][9] = -7.95245e-06, 
a[12][10] = -8.18734e-06, 
a[12][11] = -8.43235e-06, 
a[12][12] = 0.00943396, 
a[12][13] = 4.07692, 
a[12][14] = 3.92593, 
a[12][15] = 3.78571, 
a[12][16] = 3.65517, 
a[12][17] = 3.53333, 
a[12][18] = 3.41935, 
a[12][19] = 3.3125, 
a[12][20] = 3.21212, 
a[12][21] = 3.11765, 
a[12][22] = 3.02857, 
a[12][23] = 2.94444, 
a[12][24] = 2.86486, 
a[12][25] = 2.78947, 
a[12][26] = 2.71795, 
a[12][27] = 2.65, 
a[12][28] = 2.58537, 
