Complited in 0.000702
a[16][18] = 3.02857, 
a[16][19] = 2.94444, 
a[16][20] = 2.86486, 
a[16][21] = 2.78947, 
a[16][22] = 2.71795, 
a[16][23] = 2.65, 
a[16][24] = 2.58537, 
a[16][25] = 2.52381, 
a[16][26] = 2.46512, 
a[16][27] = 2.40909, 
a[16][28] = 2.35556, 
a[16][29] = 2.30435, 
a[16][30] = 2.25532, 
a[16][31] = 2.20833, 
a[16][32] = 2.16327, 
a[16][33] = 2.12, 
a[16][34] = 2.07843, 
a[16][35] = 2.03846, 
a[16][36] = 2, 
a[16][37] = 1.96296, 
a[16][38] = 1.92727, 
a[16][39] = 1.89286, 
a[16][40] = 1.85965, 
a[16][41] = 1.82759, 
a[16][42] = 1.79661, 
a[16][43] = 1.76667, 
a[16][44] = 1.7377, 
a[16][45] = 1.70968, 
a[16][46] = 1.68254, 
a[16][47] = 1.65625, 
a[16][48] = 1.63077, 
a[16][49] = 1.60606, 
a[16][50] = 1.58209, 
a[16][51] = 1.55882, 
a[16][52] = 1.53623, 
a[16][53] = 1.51429, 
a[16][54] = 1.49296, 
a[16][55] = 1.47222, 
a[16][56] = 1.45205, 
a[16][57] = 1.43243, 
a[16][58] = 1.41333, 
a[16][59] = 1.39474, 
a[16][60] = 1.37662, 
a[16][61] = 1.35897, 
a[16][62] = 1.34177, 
a[16][63] = 1.325, 
a[16][64] = 1.30864, 
a[16][65] = 1.29268, 
a[16][66] = 1.27711, 
a[16][67] = 1.2619, 
a[16][68] = 1.24706, 
a[16][69] = 1.23256, 
a[16][70] = 1.21839, 
a[16][71] = 1.20455, 
a[16][72] = 1.19101, 
a[16][73] = 1.17778, 
a[16][74] = 1.16484, 
a[16][75] = 1.15217, 
a[16][76] = 1.13978, 
a[16][77] = 1.12766, 
a[16][78] = 1.11579, 
a[16][79] = 1.10417, 
a[16][80] = 1.09278, 
a[16][81] = 1.08163, 
a[16][82] = 1.07071, 
a[16][83] = 1.06, 
a[16][84] = 1.0495, 
a[16][85] = 1.03922, 
a[16][86] = 1.02913, 
a[16][87] = 1.01923, 
a[16][88] = 1.00952, 
a[16][89] = 3.21212, 
a[16][90] = 0.990654, 
a[16][91] = 0.981481, 
a[16][92] = 0.972477, 
a[16][93] = 0.963636, 
a[16][94] = 0.954955, 
a[16][95] = 0.946429, 
a[16][96] = 0.938053, 
a[16][97] = 0.929825, 
a[16][98] = 0.921739, 
a[16][99] = 0.913793, 

a[18][0] = 0.0526316, 
a[18][1] = 0.0300752, 
a[18][2] = 0.0185158, 
a[18][3] = 0.00926426, 
a[18][4] = 0.00403862, 
a[18][5] = 0.00139635, 
a[18][6] = 0.000226265, 
a[18][7] = -1.07775e-05, 
a[18][8] = -1.10766e-05, 
a[18][9] = -1.1388e-05, 
a[18][10] = -1.17122e-05, 
a[18][11] = -1.20499e-05, 
a[18][12] = -1.24019e-05, 
a[18][13] = -1.27689e-05, 
a[18][14] = -1.31517e-05, 
a[18][15] = -1.35513e-05, 
a[18][16] = -1.39685e-05, 
a[18][17] = -1.44043e-05, 
