Complited in 7.178908
a[24][34] = 0.634048, 
a[24][35] = -0.42217, 
a[24][36] = 0.0439919, 
a[24][37] = -0.0859654, 
a[24][38] = -1.59697, 
a[24][39] = 0.622706, 
a[24][40] = -0.0181867, 
a[24][41] = -0.0902711, 
a[24][42] = -0.197518, 
a[24][43] = 0.0613899, 
a[24][44] = -0.222622, 
a[24][45] = 0.325806, 
a[24][46] = 0.255079, 
a[24][47] = 0.227115, 
a[24][48] = -0.176346, 
a[24][49] = 0.286904, 
a[24][50] = 0.399932, 
a[24][51] = -0.238676, 
a[24][52] = 0.301648, 
a[24][53] = -0.237458, 
a[24][54] = 0.234906, 
a[24][55] = -0.0991692, 
a[24][56] = -0.260817, 
a[24][57] = -0.160291, 
a[24][58] = -1.08672, 
a[24][59] = -0.0862662, 
a[24][60] = -0.081807, 
a[24][61] = 0.269044, 
a[24][62] = 0.0762188, 
a[24][63] = 0.42703, 
a[24][64] = 0.309079, 
a[24][65] = -0.236522, 
a[24][66] = 0.338501, 
a[24][67] = -0.150755, 
a[24][68] = 0.124547, 
a[24][69] = 0.386464, 
a[24][70] = 0.242203, 
a[24][71] = 0.418196, 
a[24][72] = 0.592936, 
a[24][73] = 0.355002, 
a[24][74] = 0.551878, 
a[24][75] = 0.300128, 
a[24][76] = 0.468889, 
a[24][77] = 0.760034, 
a[24][78] = 0.517786, 
a[24][79] = 0.844243, 
a[24][80] = 0.390246, 
a[24][81] = -0.634779, 
a[24][82] = 0.302903, 
a[24][83] = 0.967573, 
a[24][84] = 0.527952, 
a[24][85] = 0.796563, 
a[24][86] = 0.752377, 
a[24][87] = 0.698235, 
a[24][88] = 0.440928, 
a[24][89] = 0.579376, 
a[24][90] = 0.730484, 
a[24][91] = 0.564815, 
a[24][92] = 0.273625, 
a[24][93] = 0.823896, 
a[24][94] = 0.405723, 
a[24][95] = 0.52869, 
a[24][96] = 0.118124, 
a[24][97] = 0.0950951, 
a[24][98] = 0.192747, 
a[24][99] = 0.190059, 

a[32][0] = 0.0294118, 
a[32][1] = 0.0130719, 
a[32][2] = 0.036839, 
a[32][3] = 0.00743644, 
a[32][4] = 0.00299609, 
a[32][5] = 0.00170797, 
a[32][6] = 0.000569381, 
a[2][0] = 0.25, 
a[32][7] = 0.000256116, 
a[32][8] = 3.37137e-05, 
a[32][9] = 1.60397e-05, 
a[32][10] = 1.9896e-06, 
a[32][11] = 2.38565e-07, 
a[32][12] = 2.40582e-08, 
a[32][13] = 2.52538e-09, 
a[32][14] = 1.83368e-10, 
a[32][15] = 2.54257e-10, 
a[32][16] = 1.36665e-10, 
a[32][17] = 2.54893e-11, 
a[32][18] = 1.95787e-10, 
a[32][19] = 1.83828e-11, 
a[2][1] = 0.0416667, 
a[32][20] = 9.20865e-12, 
a[2][2] = 0.0416667, 
a[32][21] = 8.96488e-12, 
a[2][3] = -0.0333333, 
a[32][22] = 1.93554e-12, 
a[2][4] = 0.0285714, 
a[32][23] = 4.79235e-13, 
a[2][5] = 0.047619, 
a[32][24] = 1.49608e-13, 
a[32][25] = 6.43932e-14, 
a[2][6] = 0.0595238, 
a[32][26] = 3.6002e-14, 
a[32][27] = 1.09933e-14, 
a[32][28] = 4.38111e-15, 
a[32][29] = 1.47591e-15, 
a[32][30] = 7.9602e-16, 
a[2][7] = 0.0666667, 
a[32][31] = 2.36502e-16, 
a[2][8] = 0.0707071, 
a[32][32] = 2.66504e-17, 
a[2][9] = 0.0727273, 
a[32][33] = -0.063357, 
a[2][10] = 0.0734266, 
a[32][34] = 0.0798905, 
a[2][11] = 0.0732601, 
a[32][35] = 0.456482, 
a[2][12] = 0.0725275, 
a[32][36] = -0.542555, 
a[2][13] = 0.0714286, 
a[32][37] = -0.299104, 
a[2][14] = 0.070098, 
a[32][38] = -1.01188, 
a[2][15] = 0.0686275, 
a[32][39] = 0.467582, 
a[2][16] = 0.0670795, 
a[32][40] = 0.0571556, 
a[2][17] = 0.0654971, 
a[32][41] = -0.531621, 
a[2][18] = 0.0639098, 
a[32][42] = -0.578855, 
