Complited in 2.582368
a[32][40] = 0.890411, 
a[32][41] = 0.878378, 
a[32][42] = 0.866667, 
a[32][43] = 0.855263, 
a[32][44] = 0.844156, 
a[32][45] = 0.833333, 
a[32][46] = 0.822785, 
a[32][47] = 0.8125, 
a[32][48] = 0.802469, 
a[32][49] = 0.792683, 

a[36][0] = 0.027027, 
a[36][1] = 0.0128023, 
a[36][2] = 0.00703031, 
a[36][3] = 0.00470329, 
a[36][4] = 0.00344668, 
a[36][5] = 0.00266427, 
a[36][6] = 0.00213368, 
a[36][7] = 0.00175266, 
a[36][8] = 0.00146754, 
a[36][9] = 0.00124746, 
a[36][10] = 0.00107339, 
a[36][11] = 0.000932992, 
a[36][12] = 0.000817907, 
a[36][13] = 0.000722287, 
a[36][14] = 0.000641918, 
a[36][15] = 0.000573693, 
a[36][16] = 0.000515272, 
a[36][17] = 0.000464862, 
a[36][18] = 0.000421068, 
a[36][19] = 0.000382789, 
a[36][20] = 0.000349146, 
a[36][21] = 0.000319432, 
a[36][22] = 0.000293067, 
a[36][23] = 0.000269576, 
a[36][24] = 0.000248567, 
a[36][25] = 0.000229711, 
a[36][26] = 0.000212731, 
a[36][27] = 0.000197394, 
a[36][28] = 0.000183502, 
a[36][29] = 0.000170885, 
a[36][30] = 0.000159397, 
a[36][31] = 0.000148913, 
a[36][32] = 0.000139325, 
a[36][33] = 0.000130536, 
a[36][34] = 0.000122465, 
a[36][35] = 0.000115038, 
a[36][36] = 0.0136986, 
a[36][37] = 0.986486, 
a[36][38] = 0.973333, 
a[36][39] = 0.960526, 
a[36][40] = 0.948052, 
a[36][41] = 0.935897, 
a[36][42] = 0.924051, 
a[36][43] = 0.9125, 
a[36][44] = 0.901235, 
a[36][45] = 0.890244, 
a[36][46] = 0.879518, 
a[36][47] = 0.869048, 
a[36][48] = 0.858824, 
a[36][49] = 0.848837, 

a[40][0] = 0.0243902, 
a[40][1] = 0.0116144, 
a[40][2] = 0.00641493, 
a[40][3] = 0.00431529, 
a[40][4] = 0.003179, 
a[40][5] = 0.00246972, 
a[40][6] = 0.00198741, 
a[40][7] = 0.00164006, 
a[40][8] = 0.00137937, 
a[40][9] = 0.00117752, 
a[40][10] = 0.00101738, 
a[40][11] = 0.000887809, 
a[40][12] = 0.000781273, 
a[40][13] = 0.000692483, 
a[40][14] = 0.000617625, 
a[40][15] = 0.000553885, 
a[40][16] = 0.000499142, 
a[40][17] = 0.000451765, 
a[40][18] = 0.000410486, 
a[40][19] = 0.000374302, 
a[40][20] = 0.000342411, 
a[40][21] = 0.000314165, 
a[40][22] = 0.000289036, 
a[40][23] = 0.000266587, 
a[40][24] = 0.000246457, 
a[40][25] = 0.000228342, 
a[40][26] = 0.00021199, 
a[40][27] = 0.000197183, 
a[40][28] = 0.000183739, 
a[40][29] = 0.0001715, 
a[40][30] = 0.000160331, 
a[40][31] = 0.000150114, 
a[40][32] = 0.000140749, 
a[40][33] = 0.000132146, 
a[40][34] = 0.000124229, 
a[40][35] = 0.000116929, 
a[40][36] = 0.000110186, 
a[40][37] = 0.000103948, 
a[40][38] = 9.81681e-05, 
a[40][39] = 9.28039e-05, 
a[40][40] = 0.0123457, 
a[40][41] = 0.987805, 
a[40][42] = 0.975904, 
a[40][43] = 0.964286, 
a[40][44] = 0.952941, 
a[40][45] = 0.94186, 
a[40][46] = 0.931034, 
a[40][47] = 0.920455, 
a[40][48] = 0.910112, 
a[40][49] = 0.9, 

a[44][0] = 0.0222222, 
a[44][1] = 0.010628, 
a[44][2] = 0.00589817, 
a[44][3] = 0.00398582, 
a[44][4] = 0.00294913, 
a[44][5] = 0.00230077, 
a[44][6] = 0.00185893, 
a[44][7] = 0.00154, 
a[44][8] = 0.00130006, 
a[44][9] = 0.00111383, 
a[44][10] = 0.000965704, 
a[44][11] = 0.000845558, 
a[44][12] = 0.000746518, 
a[44][13] = 0.000663764, 
a[44][14] = 0.00059382, 
a[44][15] = 0.000534113, 
a[44][16] = 0.000482706, 
a[44][17] = 0.000438106, 
a[44][18] = 0.000399152, 
a[44][19] = 0.000364923, 
a[44][20] = 0.000334684, 
a[44][21] = 0.000307839, 
a[44][22] = 0.0002839, 
a[44][23] = 0.000262466, 
a[44][24] = 0.000243203, 
a[44][25] = 0.000225832, 
a[44][26] = 0.000210116, 
a[44][27] = 0.000195855, 
a[44][28] = 0.00018288, 
a[44][29] = 0.000171044, 
a[44][30] = 0.00016022, 
a[44][31] = 0.0001503, 
a[44][32] = 0.000141189, 
a[44][33] = 0.000132805, 
a[44][34] = 0.000125073, 
a[44][35] = 0.000117932, 
a[44][36] = 0.000111323, 
a[44][37] = 0.000105199, 
a[44][38] = 9.9514e-05, 
a[44][39] = 9.42293e-05, 
a[44][40] = 8.93096e-05, 
a[44][41] = 8.47237e-05, 
a[44][42] = 8.04434e-05, 
a[44][43] = 7.64435e-05, 
a[44][44] = 0.011236, 
a[44][45] = 0.988889, 
a[44][46] = 0.978022, 
a[44][47] = 0.967391, 
a[44][48] = 0.956989, 
a[44][49] = 0.946809, 

a[48][0] = 0.0204082, 
a[48][1] = 0.00979592, 
a[48][2] = 0.00545818, 
a[48][3] = 0.00370269, 
a[48][4] = 0.00274978, 
a[48][5] = 0.00215287, 
a[48][6] = 0.00174541, 
a[48][7] = 0.00145074, 
a[48][8] = 0.00122863, 
a[48][9] = 0.00105589, 
a[48][10] = 0.000918212, 
a[48][11] = 0.000806307, 
a[48][12] = 0.000713866, 
a[48][13] = 0.000636464, 
a[48][14] = 0.000570903, 
a[48][15] = 0.000514821, 
a[48][16] = 0.000466432, 
a[48][17] = 0.000424363, 
a[48][18] = 0.000387544, 
a[48][19] = 0.000355125, 
a[48][20] = 0.000326427, 
a[48][21] = 0.000300898, 
a[48][22] = 0.000278088, 
a[48][23] = 0.000257625, 
a[48][24] = 0.0002392, 
a[48][25] = 0.000222552, 
a[48][26] = 0.000207462, 
a[48][27] = 0.000193745, 
a[48][28] = 0.000181242, 
a[48][29] = 0.000169816, 
a[48][30] = 0.000159349, 
a[48][31] = 0.000149739, 
a[48][32] = 0.000140899, 
a[48][33] = 0.000132749, 
a[48][34] = 0.000125222, 
a[48][35] = 0.000118257, 
a[48][36] = 0.000111803, 
a[48][37] = 0.000105812, 
a[48][38] = 0.000100243, 
a[48][39] = 9.50571e-05, 
a[48][40] = 9.02227e-05, 
a[48][41] = 8.57097e-05, 
a[48][42] = 8.14913e-05, 
a[48][43] = 7.75436e-05, 
a[48][44] = 7.38449e-05, 
a[48][45] = 7.03757e-05, 
a[48][46] = 6.71182e-05, 
a[48][47] = 6.40564e-05, 
a[48][48] = 0.0103093, 
a[48][49] = 0.989796, 

a[1][0] = 0.5, 
a[1][1] = 0.333333, 
a[1][2] = 0.75, 
a[1][3] = 0.6, 
a[1][4] = 0.5, 
a[1][5] = 0.428571, 
a[1][6] = 0.375, 
a[1][7] = 0.333333, 
a[1][8] = 0.3, 
a[1][9] = 0.272727, 
a[1][10] = 0.25, 
a[1][11] = 0.230769, 
a[1][12] = 0.214286, 
a[1][13] = 0.2, 
a[1][14] = 0.1875, 
a[1][15] = 0.176471, 
a[1][16] = 0.166667, 
a[1][17] = 0.157895, 
a[1][18] = 0.15, 
a[1][19] = 0.142857, 
a[1][20] = 0.136364, 
a[1][21] = 0.130435, 
a[1][22] = 0.125, 
a[1][23] = 0.12, 
a[1][24] = 0.115385, 
a[1][25] = 0.111111, 
a[1][26] = 0.107143, 
a[1][27] = 0.103448, 
a[1][28] = 0.1, 
a[1][29] = 0.0967742, 
a[1][30] = 0.09375, 
a[1][31] = 0.0909091, 
a[1][32] = 0.0882353, 
a[1][33] = 0.0857143, 
a[1][34] = 0.0833333, 
a[1][35] = 0.0810811, 
a[1][36] = 0.0789474, 
a[1][37] = 0.0769231, 
a[1][38] = 0.075, 
a[1][39] = 0.0731707, 
a[1][40] = 0.0714286, 
a[1][41] = 0.0697674, 
a[1][42] = 0.0681818, 
a[1][43] = 0.0666667, 
a[1][44] = 0.0652174, 
a[1][45] = 0.0638298, 
a[1][46] = 0.0625, 
a[1][47] = 0.0612245, 
a[1][48] = 0.06, 
a[1][49] = 0.0588235, 

a[5][0] = 0.166667, 
a[5][1] = 0.0595238, 
a[5][2] = 0.0248016, 
