Complited in 3.376581
a[8][90] = 1088.6, 
a[8][91] = 1086.11, 
a[8][92] = 1083.55, 
a[8][93] = 1080.92, 
a[8][94] = 1078.24, 
a[8][95] = 1075.5, 
a[8][96] = 1072.7, 
a[8][97] = 1069.86, 
a[8][98] = 1066.97, 
a[8][99] = 1064.04, 

a[16][0] = 0.0588235, 
a[16][1] = 0.0261438, 
a[16][2] = 0.00687994, 
a[16][3] = 0.00144479, 
a[16][4] = 0.000255541, 
a[16][5] = 3.87183e-05, 
a[16][6] = 5.05021e-06, 
a[16][7] = 5.6653e-07, 
a[16][8] = 5.4387e-08, 
a[16][9] = 4.42994e-09, 
a[16][10] = 3.02665e-10, 
a[16][11] = 1.75964e-11, 
a[16][12] = 1.38926e-12, 
a[16][13] = 2.75081e-15, 
a[16][14] = 3.30727e-13, 
a[16][15] = -7.70631e-16, 
a[16][16] = 4.4855e-15, 
a[16][17] = 5.07157, 
a[16][18] = 15.9262, 
a[16][19] = 39.1507, 
a[16][20] = 81.8956, 
a[16][21] = 152.692, 
a[16][22] = 261.189, 
a[16][23] = 417.303, 
a[16][24] = 631.142, 
a[16][25] = 912.855, 
a[16][26] = 1271.36, 
a[16][27] = 1715.08, 
a[16][28] = 2251.3, 
a[16][29] = 2886.16, 
a[16][30] = 3624.21, 
a[16][31] = 4469.28, 
a[16][32] = 5423.61, 
a[16][33] = 6488.31, 
a[16][34] = 7663.59, 
a[16][35] = 8948.49, 
a[16][36] = 10341.3, 
a[16][37] = 11839.5, 
a[16][38] = 13440, 
a[16][39] = 15138.9, 
a[16][40] = 16932.1, 
a[16][41] = 18815, 
a[16][42] = 20782.8, 
a[16][43] = 22830.5, 
a[16][44] = 24952.7, 
a[16][45] = 27144.4, 
a[16][46] = 29400, 
a[16][47] = 31714.5, 
a[16][48] = 34082.4, 
a[16][49] = 36498.7, 
a[16][50] = 38958.4, 
a[16][51] = 41456.5, 
a[16][52] = 43988.2, 
a[16][53] = 46549.1, 
a[16][54] = 49134.6, 
a[16][55] = 51740.6, 
a[16][56] = 54363.1, 
a[16][57] = 56998.2, 
a[16][58] = 59642.3, 
a[16][59] = 62291.9, 
a[16][60] = 64943.8, 
a[16][61] = 67595, 
a[16][62] = 70242.5, 
a[16][63] = 72883.7, 
a[16][64] = 75515.9, 
a[16][65] = 78137.1, 
a[16][66] = 80744.8, 
a[16][67] = 83337, 
a[16][68] = 85912, 
a[16][69] = 88467.9, 
a[16][70] = 91003.2, 
a[16][71] = 93516.4, 
a[16][72] = 96006.1, 
a[16][73] = 98471.1, 
a[16][74] = 100910, 
a[16][75] = 103323, 
a[16][76] = 105708, 
a[16][77] = 108064, 
a[16][78] = 110391, 
a[16][79] = 112688, 
a[16][80] = 114955, 
a[16][81] = 117190, 
a[16][82] = 119395, 
a[16][83] = 121568, 
a[16][84] = 123708, 
a[16][85] = 125817, 
a[16][86] = 127893, 
a[16][87] = 129936, 
a[16][88] = 131947, 
a[16][89] = 133925, 
a[16][90] = 135871, 
a[16][91] = 137784, 
a[16][92] = 139664, 
a[16][93] = 141512, 
a[16][94] = 143327, 
a[16][95] = 145110, 
a[16][96] = 146861, 
a[16][97] = 148580, 
a[16][98] = 150268, 
a[16][99] = 151924, 

a[24][0] = 0.04, 
a[24][1] = 0.0184615, 
a[24][2] = 0.00524217, 
a[24][3] = 0.00123565, 
a[24][4] = 0.000255652, 
a[24][5] = 4.7343e-05, 
a[24][6] = 7.91365e-06, 
a[24][7] = 1.19846e-06, 
a[24][8] = 1.64637e-07, 
a[24][9] = 2.05092e-08, 
a[24][10] = 2.3154e-09, 
a[24][11] = 2.41608e-10, 
a[24][12] = 3.34667e-11, 
a[24][13] = 3.36015e-12, 
a[24][14] = 2.35148e-11, 
a[24][15] = 4.80213e-13, 
a[24][16] = 2.72018e-12, 
a[24][17] = 8.66594e-14, 
a[24][18] = 6.84199e-13, 
a[24][19] = -1.76256e-14, 
a[24][20] = 2.05495e-14, 
a[24][21] = 1.39936e-14, 
a[24][22] = 1.26963e-15, 
a[24][23] = -9.81304e-16, 
a[24][24] = 4.88155e-17, 
a[24][25] = -1.04106, 
a[24][26] = 1.47269, 
a[24][27] = 7.80481, 
a[24][28] = 22.7607, 
a[24][29] = 50.3166, 
a[24][30] = 101.388, 
a[24][31] = 181.117, 
a[24][32] = 302.791, 
a[24][33] = 479.075, 
a[24][34] = 722.382, 
a[24][35] = 1048.01, 
a[24][36] = 1470.98, 
a[24][37] = 2007.18, 
a[24][38] = 2673.62, 
a[24][39] = 3485.64, 
a[24][40] = 4457.5, 
a[24][41] = 5607.78, 
a[24][42] = 6949.29, 
a[24][43] = 8496.67, 
a[24][44] = 10262.3, 
a[24][45] = 12259.5, 
a[24][46] = 14497.4, 
a[24][47] = 16987.4, 
a[24][48] = 19737.6, 
a[24][49] = 22754.1, 
a[24][50] = 26045.3, 
a[24][51] = 29613.8, 
a[24][52] = 33465.2, 
a[24][53] = 37600.9, 
a[24][54] = 42022, 
a[24][55] = 46730.4, 
