Complited in 0.996132
a[24][23] = 9.78865e-16, 
a[24][24] = 7.31044e-17, 
a[24][25] = 0.869334, 
a[24][26] = -0.0730262, 
a[24][27] = -0.00104863, 
a[24][28] = -0.804357, 
a[24][29] = -0.0920992, 
a[24][30] = 0.134799, 
a[24][31] = 0.857957, 
a[24][32] = 0.0309649, 
a[24][33] = -0.945204, 
a[24][34] = 0.0669339, 
a[24][35] = -0.356939, 
a[24][36] = -0.080557, 
a[24][37] = -0.948994, 
a[24][38] = -0.683192, 
a[24][39] = -1.18399, 
a[24][40] = -0.28495, 
a[24][41] = -0.427827, 
a[24][42] = -0.568405, 
a[24][43] = -0.0923305, 
a[24][44] = 0.672058, 
a[24][45] = -0.767762, 
a[24][46] = 0.0680839, 
a[24][47] = 0.174633, 
a[24][48] = -0.287394, 
a[24][49] = -0.74496, 

a[28][0] = 0.0333333, 
a[28][1] = 0.0145833, 
a[28][2] = 0.0407328, 
a[28][3] = 0.0078048, 
a[28][4] = 0.00287262, 
a[28][5] = 0.00156406, 
a[28][6] = 0.000501471, 
a[28][7] = 6.66764e-05, 
a[28][8] = 1.89685e-05, 
a[28][9] = 6.12246e-06, 
a[28][10] = 8.0731e-07, 
a[28][11] = 6.85427e-08, 
a[28][12] = 7.76125e-09, 
a[28][13] = 5.02208e-10, 
a[28][14] = 3.50566e-11, 
a[28][15] = 6.05189e-11, 
a[28][16] = 9.12415e-12, 
a[28][17] = 1.26597e-11, 
a[28][18] = 1.68238e-11, 
a[28][19] = 1.28605e-12, 
a[28][20] = -1.53895e-14, 
a[28][21] = 1.66576e-13, 
a[28][22] = 3.77573e-14, 
a[28][23] = 3.5034e-14, 
a[28][24] = 4.66629e-15, 
a[28][25] = 9.10564e-16, 
a[28][26] = 3.05987e-16, 
a[28][27] = 7.5831e-16, 
a[28][28] = 2.44741e-17, 
a[28][29] = -1.22974, 
a[28][30] = 0.702741, 
a[28][31] = 0.028203, 
a[28][32] = -1.20759, 
a[28][33] = 0.325843, 
a[28][34] = -0.478845, 
a[28][35] = 0.0675285, 
a[28][36] = -0.0494181, 
a[28][37] = 0.120929, 
a[28][38] = 0.221021, 
a[28][39] = 0.914294, 
a[28][40] = 0.708482, 
a[28][41] = -1.31008, 
a[28][42] = 0.773226, 
a[28][43] = -0.0895308, 
a[28][44] = -0.369563, 
a[28][45] = 0.354004, 
a[28][46] = -1.24256, 
a[28][47] = -1.11688, 
a[28][48] = 0.620593, 
a[28][49] = -0.131341, 

a[32][0] = 0.0294118, 
a[32][1] = 0.0130719, 
a[32][2] = 0.036839, 
a[32][3] = 0.00743644, 
a[32][4] = 0.00299609, 
a[32][5] = 0.00170797, 
a[32][6] = 0.000569381, 
a[32][7] = 8.51061e-05, 
a[32][8] = 2.57073e-05, 
a[32][9] = 9.20554e-06, 
a[32][10] = 1.32945e-06, 
a[32][11] = 1.28911e-07, 
a[32][12] = 1.62285e-08, 
a[32][13] = 1.20649e-09, 
a[32][14] = 9.87356e-11, 
a[32][15] = 1.82526e-10, 
a[32][16] = 2.69283e-11, 
a[32][17] = 5.27936e-11, 
a[32][18] = 7.1447e-11, 
a[32][19] = 5.70019e-12, 
a[32][20] = -3.40714e-13, 
a[32][21] = 9.60079e-13, 
a[32][22] = 2.6417e-13, 
a[32][23] = 2.77662e-13, 
a[32][24] = 4.5695e-14, 
a[32][25] = 1.23282e-14, 
a[32][26] = 3.85384e-15, 
a[32][27] = 1.95918e-14, 
a[32][28] = 9.42672e-16, 
a[32][29] = 9.0374e-16, 
a[32][30] = 3.8078e-16, 
a[32][31] = 6.3232e-17, 
a[32][32] = 3.22153e-17, 
a[32][33] = 0.575505, 
a[32][34] = -0.954671, 
a[32][35] = -0.49625, 
a[32][36] = -0.58713, 
a[32][37] = 0.0908045, 
a[32][38] = -0.272521, 
a[32][39] = 0.0106132, 
a[32][40] = -0.252251, 
a[32][41] = -0.389502, 
a[32][42] = 0.885177, 
a[32][43] = 0.410791, 
a[32][44] = -0.744482, 
a[32][45] = -0.351811, 
a[32][46] = -0.547616, 
a[32][47] = -0.346996, 
a[32][48] = -0.455767, 
a[32][49] = -0.036494, 

a[36][0] = 0.0263158, 
a[36][1] = 0.0118421, 
a[36][2] = 0.033606, 
a[36][3] = 0.00707326, 
a[36][4] = 0.00306989, 
a[36][5] = 0.00181399, 
a[36][6] = 0.000623103, 
a[36][7] = 0.000102466, 
a[36][8] = 3.24005e-05, 
a[36][9] = 1.25862e-05, 
a[36][10] = 1.94824e-06, 
a[36][11] = 2.09521e-07, 
a[36][12] = 2.85462e-08, 
a[36][13] = 2.35588e-09, 
a[36][14] = 2.1775e-10, 
a[36][15] = 4.21097e-10, 
a[36][16] = 5.98796e-11, 
a[36][17] = 1.52492e-10, 
a[36][18] = 2.08289e-10, 
a[36][19] = 1.70028e-11, 
a[36][20] = -1.70807e-12, 
a[36][21] = 3.37938e-12, 
a[36][22] = 1.04284e-12, 
a[36][23] = 1.17311e-12, 
